,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3197.262240783787,190.7377592162117,0.0,293,3707,153,0.0,3.26002812668175,2.5805788520232262
1,3500.91419193105,204.43638417080905,-13.350576101862526,293,3399,0,0.0,3.530002294398044,2.636500419764145
2,3628.20643501126,211.0472032953013,-39.25363830658066,276,3524,0,0.0,3.9611986053250328,2.7944602973515487
3,3389.56731647266,195.98328617159905,-41.55060264427377,260,3492,52,0.0,5.303552547565967,2.878292914382251
4,3519.276299872716,207.92140395003238,-59.197703822769626,289,3423,11,-0.21191390637877022,7.145879016476421,2.404046547261589
5,3610.6656096438487,206.30520531711912,-100.97081496099871,255,3461,0,-1.0373413726556724,10.072025663134,2.868855202164109
6,3373.008981912433,239.64860724408064,-148.65758915652344,253,3487,69,-1.254829845131084,11.001654676091833,3.2330175629018294
7,3587.259270838993,298.4552849695047,-217.7145558085015,269,3399,0,-1.2548298451310838,11.441135786656547,3.2251613887549246
8,3370.3643258559573,313.6756923115666,-248.04001816753004,279,3429,68,-7.294582435781746,12.088887807619962,3.864425520379945
9,3504.300040022857,380.6476616679559,-316.94770169081784,346,3394,43,-4.25085932700728,12.720971742431075,3.9376475841828604
10,3259.967928368002,389.4118403620024,-341.37976873000235,380,3384,114,-11.678724351887313,14.538116957810786,4.246133964492859
11,3253.454070276282,421.30465474673684,-374.7587250230336,403,3369,118,-4.244002824302513,17.17155835529893,3.4815434356539052
12,3533.55485820515,511.3113742805281,-464.86623248568054,373,3359,38,-10.174917729690314,23.6157148426752,3.116071449783081
13,3738.7466595704846,584.0154604034186,-546.7621199738905,358,3430,3,-19.527198955216928,19.48201353783286,3.739145869137884
14,3553.3337077491624,597.899984462035,-559.2336922112064,310,3446,41,-15.282472794259217,23.17188233960403,2.8616082044744022
15,3673.1030428408317,609.2770879646673,-566.3801308055175,363,3441,22,-14.44571677341913,27.22904759502923,2.928825159787855
16,3769.721306420534,651.755881853415,-617.4771882739667,341,3487,6,-19.52815544160452,31.092169488005357,2.8706936210130314
17,3231.4238377465654,572.7423927148769,-552.1662304614371,338,3474,140,-19.495313940148108,30.842272065749295,2.265622854926022
18,2789.7064079292877,490.114962801945,-471.82137073122317,393,3467,263,-6.592085095275653,25.402652819341757,2.535531435472123
19,3203.804208303926,593.5047113889658,-577.3089196928958,387,3481,162,-9.311947728307533,34.02008547481005,3.1488360747316113
20,3905.606656403825,705.1544307621886,-722.7610871660391,352,3536,0,-27.015507939953835,41.511418575765,3.0160999601575065
21,3910.0401952735347,716.9900919136975,-735.0302871872568,347,3561,4,-32.52983953774643,56.609430460954876,3.14626216206893
22,3599.797127580074,668.7060318410896,-684.5031594211958,321,3587,81,-17.725058202497895,47.333538911753344,3.573148645923786
23,3882.223568073319,737.8771592685816,-760.1007273419416,269,3591,0,-21.992791949815995,59.13572097223193,3.841612003631014
24,3878.2656933165067,753.2589501181824,-775.5246434347127,221,3635,0,-36.40036298706654,63.269125224317214,3.4536282907052365
25,3900.433050672137,768.452762919224,-788.8858135913764,206,3674,0,-24.86791257723255,74.78501761224659,3.639482204973415
26,3800.095253374741,759.9866070163163,-784.0818603910726,199,3585,2,-27.065018548632313,72.00644393138512,4.091742034192209
27,3824.0046273708035,790.1904130619654,-806.1950404327881,181,3627,0,-33.465399661520145,73.85792409604986,3.3852865552799782
28,3822.571703895585,805.8415869793821,-816.4132908750018,174,3638,0,-28.87084498515677,86.00137262357823,4.048690982789822
29,3789.025919259222,807.0925314383196,-816.1184506975834,191,3589,0,-34.19319350491001,80.83641468877828,4.180740246773502
30,3775.1538588090625,803.8930269621218,-815.0468857712083,223,3541,0,-39.94303388254418,73.31800987818957,3.707631840580983
31,3179.206120165243,682.669605030812,-689.875725196078,224,3532,146,-36.39436944018669,81.73777687079716,3.039738852121235
32,3688.235558245988,807.4414859749777,-807.6770442210154,230,3550,23,-23.57268761945106,99.91048306450041,3.8271265080850663
33,3809.6309006630486,837.9979324885903,-839.6288331517079,242,3566,0,-54.72592399562647,123.05215476907728,4.781554098412149
34,3823.6633035684304,844.3224936456003,-843.9857972140895,225,3599,0,-37.686398727792955,135.47972004044985,3.694696433329877
35,3184.913533143625,704.3232966582941,-701.2368298019421,231,3597,160,-38.718263394811714,110.11827259197825,2.4520057918315876
36,3788.5397560430683,843.4407670891165,-839.9805231322653,218,3574,0,-22.041190293072894,132.99581396979698,2.7883417730285065
37,3841.7791844543754,853.5968632381234,-855.3760476925714,210,3630,0,-57.63506474965164,154.3812708750679,2.7753819765700856
38,3823.79002805903,848.0440213391863,-851.8340493983001,213,3647,10,-32.26819267612358,204.33294289073157,2.8987682615008215
39,3824.620881571513,846.4451456193683,-855.0660271909509,233,3583,0,-30.098784149225082,203.9499967380167,2.0916739397829107
40,3838.139542156938,853.1057312498564,-863.2452734068706,205,3639,4,-39.07582715153917,222.2120332072823,1.802175931911474
41,3870.3454981762056,863.7344942176226,-870.079992393914,202,3662,0,-40.243766233427,319.3696433744212,1.5334494382669712
42,3842.5318127756327,863.0044042998992,-865.5362170755908,202,3638,0,-35.96274193832224,309.53700102137867,1.7168025999750367
43,3061.8753131148087,692.2493871907997,-690.124700305627,218,3578,183,-35.34509048515091,331.69028824306434,1.8227086938280985
44,3800.617472065556,859.5944265012225,-860.2118985668195,209,3591,0,-18.24240671557869,350.6487144873434,2.4211138441861855
45,3862.723579606933,870.9179555421824,-873.6415351491459,209,3651,0,-58.105510968489675,464.7234603810253,1.9479235236777557
46,3775.4416784045293,852.1874689594499,-855.6291473640046,219,3613,15,-27.644943502297465,346.0322415040885,1.3275080525576015
47,3802.7860594156746,857.2791462191931,-860.065205634904,224,3576,0,-40.905586840888155,317.5865621378162,1.1513253643261847
48,3798.6520545491458,857.0116635916812,-855.6637181408556,224,3576,0,-40.234374748468625,380.1047379904675,0.9593884835805512
49,3786.24146840433,847.7554110716289,-853.996879475971,224,3556,0,-37.35637432407199,571.7590891973636,0.9034542800854919
0,3140.557382887776,187.44261711221898,0.0,297,3703,168,0.0,3.514990004712129,2.461585792080383
1,3291.7575548517334,189.18482660708997,-20.942381458834337,296,3364,50,0.0,4.500319187817962,2.8906677132112106
2,3573.6096381228317,223.41846835296926,-49.02810647581633,270,3486,2,0.0,6.083828228811876,2.703852187917632
3,3502.5501304967147,219.9648902040275,-46.51502070075624,318,3434,19,0.0,8.065550737431577,2.7337076832523257
4,3563.56084174046,261.1385507430614,-100.69939248351561,311,3477,16,-0.20942381458834317,9.406889001983709,2.9691512403539013
5,3279.958226134892,272.045071619976,-128.0032977548814,338,3350,66,-1.047119072941716,11.104843203131937,3.6497081710624926
6,3367.5298566064594,328.03000705303236,-199.55986365951102,332,3432,67,-1.8145690587188275,12.402303552616504,3.6939932695194253
7,3518.559839513073,382.2761348888488,-260.83597440193944,352,3364,19,-4.5796041578581255,18.255599055340458,3.8866298391751677
8,3309.9806979721257,390.3670127116577,-284.347710683807,339,3389,78,-8.089610695247044,20.948432131673865,4.880809282732344
9,3449.234913912737,463.1543139699328,-360.38922788269383,332,3404,46,-2.6267809359478,27.679393699081967,5.473221007830892
10,3514.7963454712813,511.14382601973483,-417.9401714910501,339,3421,38,-10.269149787441766,34.858305902651615,7.226851429742094
11,3612.665052650202,572.8843841542333,-493.5494368044387,343,3353,1,-11.320483019373167,41.57259198941127,6.96769964319643
12,3652.431251480404,627.0697256493598,-563.5009771297626,315,3401,0,-17.48583311176055,36.61029065831551,7.668845615800212
13,3531.700031102546,635.2826383023285,-582.9826694048877,365,3387,42,-13.525426779140368,39.144077648476774,9.434887273324236
14,3585.981888642493,674.8751938640255,-632.8570825065157,360,3392,31,-15.938068135367866,39.45229639870754,8.228814085439303
15,3668.15435090271,718.9564480052279,-679.1107989079551,375,3429,24,-16.723169342613982,36.472107937222425,11.774990225971894
16,3817.901189697997,751.5342849118375,-713.4354746098587,367,3489,0,-20.072647882062867,32.49420734702325,14.467524084260997
17,3698.495170659806,752.5673086606411,-719.0624793204687,355,3485,27,-21.845166235883852,34.78659579857574,16.575719862369926
18,3844.7906478349214,798.7169644705342,-763.5076123054566,319,3561,0,-23.263744213418907,32.94351755766294,18.47116408714872
19,3858.443723049574,812.1526615743087,-778.5963846238915,305,3587,0,-26.223887384701296,39.55055675907608,25.514622732694843
20,3653.006376386909,780.397755765195,-749.404132152095,279,3593,47,-22.95799319726731,36.74507456579372,30.62815587600664
21,3880.377890329871,826.9784019533241,-807.356292283207,249,3651,0,-26.050390850283883,43.1306157742753,40.04314564118157
22,3819.646569892483,816.0764941602376,-803.7230640527451,235,3597,0,-28.285029042189013,40.90833558941633,48.4667808352546
23,3838.8736092926015,826.950725906786,-813.8243351994345,208,3668,6,-32.597104164604104,51.94223479029521,50.45143459280736
24,3852.6528808471744,832.6431843293079,-825.2960651765486,191,3669,0,-28.031818558576127,47.33166083068995,54.11405186687813
25,3817.1852026007605,832.638999637004,-821.8242022378187,173,3655,0,-33.411373378509346,53.76932420445792,48.82347566656795
26,3803.7769271535403,840.2290998949612,-828.0060270485305,151,3665,0,-39.479707792218804,54.03887232889918,59.9532265974345
27,3805.4223606625883,827.4689733242235,-816.8913339868512,155,3681,5,-36.417814576799145,54.626137898904744,49.89151503391226
28,3793.7122764611586,832.6927918027201,-818.4050682638953,164,3644,0,-33.7861735373454,52.034926408716295,51.53310403747226
29,3795.893387812216,834.9296483265127,-822.8230361387507,166,3642,0,-37.258664223175785,60.762236406906645,62.87052804899538
30,3722.6512773421186,819.5751583385871,-810.226435680728,176,3556,0,-37.82890043651156,71.03292197592013,78.29526142581894
31,3744.56399764661,824.7381653439251,-817.3021629905485,171,3581,0,-43.29072861687077,88.39401482769215,87.86898911342983
32,3820.6308726932084,847.1970918431587,-839.8279645363564,200,3628,0,-42.06959050410356,63.96386491251789,64.8498565445928
33,3801.742308691313,849.1500965515602,-838.8924052428495,211,3601,0,-37.52877455774483,66.71262974120692,60.063777071528705
34,3736.6130176591955,835.3318737367377,-827.9448913959128,224,3520,0,-34.82737391696258,72.77627591452318,64.98572741719788
35,3814.213617935031,850.4196859960585,-848.6333039310807,241,3575,0,-37.93098224304658,85.40698110211532,71.16528773233365
36,3744.973378283275,830.536247794684,-831.5096260779604,277,3467,0,-36.53842847143155,89.7728549935656,65.15236368756824
37,3824.230458602731,853.4314629178186,-849.6619215205216,286,3542,0,-44.3227278365902,102.70678616908354,81.86459959703501
38,3756.2930981985746,845.8032467473928,-838.0963449459416,285,3479,0,-34.48339615980629,89.7221515404169,90.07728540618884
39,3820.0248078860386,865.8796628823662,-857.9044707684262,304,3524,0,-43.608552973291914,85.22398325629942,112.411231922875
40,3810.269684284595,866.2454389147688,-860.5151231993505,299,3537,5,-34.59798027799818,88.66695029897619,127.78543106245775
41,3826.9191950024124,869.6045154745514,-864.5237104769409,302,3530,0,-41.551792699247095,118.14532160812138,165.93105336394723
42,3842.692667144991,876.6233675165438,-867.3160346615108,292,3560,0,-37.89175419688884,149.11267773478986,169.86702877808773
