,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3122.036088039268,185.96391196073318,0.0,295,3705,173,0.0,3.622391708018544,2.406024703048481
1,3519.317554732994,204.68244526701284,0.0,296,3428,0,0.0,4.84016732390156,1.5107650298321862
2,3519.0060587117387,224.9939412882626,0.0,275,3469,0,0.0,5.326848319794461,1.2201012193007352
3,3281.3008659875577,210.6991340124439,0.0,251,3517,69,0.0,6.103395208615986,0.9754982321327823
4,3442.219316140758,293.7806838592498,0.0,320,3448,8,0.0,7.308976410241432,1.1054329976080843
5,3327.8319365724383,396.1680634275649,0.0,336,3440,13,0.0,7.73280300938734,1.079080020728345
6,3233.4480016919338,490.5519983080749,0.0,341,3383,0,0.0,9.32600067502126,1.500956183575196
7,3155.3364587945557,516.6635412054575,0.0,324,3380,8,0.0,8.561259917608773,1.8584132737240635
8,2932.3659567509517,627.6340432490458,0.0,309,3367,29,0.0,8.729080530960188,2.100777370889743
9,2658.805207916865,669.1947920831293,0.0,310,3374,89,0.0,9.321033530744685,2.323795171773803
10,2780.9413890081264,871.058610991877,0.0,308,3432,22,0.0,10.183169644491146,1.9113037478381383
11,2684.9913993509012,987.0086006491011,0.0,293,3379,0,0.0,10.242773036217983,1.8558979532843818
12,2564.908696625374,1067.0913033746356,0.0,310,3462,35,0.0,11.205120992365707,2.024937656601378
13,2472.0486025698956,1143.951397430097,0.0,341,3379,26,0.0,13.50908859291802,2.115884874276582
14,2523.9630493038385,1220.0369506961442,0.0,332,3412,0,0.0,15.999422476741577,2.015256192122718
15,2424.370323941873,1279.6296760581301,0.0,348,3480,31,0.0,16.454595262190193,1.9066133422725766
16,2420.0900276155376,1375.9099723844795,0.0,335,3461,0,0.0,17.588722555098766,1.7614576696212345
17,2430.0147595623243,1449.985240437703,0.0,326,3554,0,0.0,21.55560402727819,2.2545106311264553
18,2378.1456932603464,1485.8543067396743,0.0,309,3555,0,0.0,21.86007355455095,1.9131199984896712
19,2349.3676557925837,1546.6323442074313,0.0,274,3622,0,0.0,27.096547842195832,1.797615415168567
20,2286.758108592993,1569.2418914070274,0.0,241,3615,0,0.0,28.89180016321499,1.7738995458243059
21,2253.966962138172,1590.0330378618446,0.0,216,3652,6,0.0,31.66050136727553,1.4259447689521538
22,2247.222175224476,1632.7778247755393,0.0,212,3680,3,0.0,38.010755554414004,1.380611078727237
23,2236.534057896533,1655.4659421034835,0.0,209,3683,0,0.0,38.088426820709294,1.5591631077295585
24,2173.8611630920564,1650.1388369079484,0.0,211,3613,0,0.0,37.366027579252005,1.5852669809297448
25,2183.2179035366166,1684.7820964633934,0.0,202,3666,0,0.0,41.59682739429831,1.6488846625123443
26,2121.8211727975417,1670.1788272024678,0.0,190,3602,0,0.0,47.568809925769074,1.4157742991254416
27,2114.0679460904203,1677.9320539095906,0.0,198,3594,0,0.0,51.8835483356493,1.61675677994225
28,2015.8613195471787,1624.13868045283,0.0,192,3564,29,0.0,54.218788841638286,1.859050744563231
29,2167.0688834293155,1568.9311165706988,0.0,205,3531,0,0.0,60.453270925048336,1.1900206273483374
30,2187.1652576816373,1600.834742318373,0.0,238,3550,0,0.0,66.06160721321783,1.1612750021324327
31,2177.9156106537635,1606.0843893462495,0.0,252,3532,0,0.0,90.14170653518859,1.139264989362581
