,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3099.408029737113,184.59197026288197,0.0,284,3716,179,0.0,3.004090036532625,2.8024365671263443
1,2684.0762005486945,159.92379945130648,0.0,290,3362,202,0.0,3.1637977563222357,3.73047547708635
2,2808.661124427478,167.33887557252118,0.0,272,3512,202,0.0,3.6761238929384494,3.873181792405937
3,3629.4376190806024,215.59936844693988,-41.03698752752366,310,3494,0,0.0,4.491827795559284,4.495690890232352
4,3642.8069870094914,213.0504502356479,-67.85743724511191,317,3471,0,0.0,4.836534065373782,4.467169488380182
5,3589.059788411216,210.8912188979475,-95.95100730913371,335,3441,18,0.0,6.069466121034586,4.127263772921379
6,3628.9441828812464,221.37118277498908,-102.31536565621528,372,3388,3,-0.640354774638765,7.547953662903233,4.174004492812857
7,3588.486864315467,269.29449337355595,-161.7813576889906,356,3340,0,-2.897696130686243,7.98953474307946,2.999074243092046
8,3652.3527411318423,298.77819913611734,-219.13094026789727,347,3401,4,-2.0677655185908366,9.906004396610818,1.9229672811943401
9,3551.047529728909,338.9996843754504,-274.0472141042749,346,3342,18,-4.047384908361927,8.683845270832478,1.9842882644906914
10,3638.836599441543,408.08705105375486,-354.92365049519157,364,3336,2,-6.552569783364429,8.738882488283023,1.9567322498675896
11,3641.263107096481,446.2624724377676,-411.5255795341655,370,3358,13,-8.879239772734502,10.463995808862142,1.8286919806027568
12,3666.8032660888884,494.6730985837801,-473.47636467262043,372,3380,16,-9.610037712481343,10.394659964421832,1.6318463063057722
13,3625.136703492928,529.5025737564705,-514.6392772493712,376,3380,29,-12.365094923274832,12.576250727435008,1.7536650995080698
14,3734.8845155879967,595.5645790671846,-582.4490946551713,357,3391,0,-16.939683062879375,15.049729038205305,1.8828914869860944
15,3770.706193502262,642.6751223513404,-637.3813158536093,357,3419,0,-19.34867770849148,20.505557221915584,2.1935349055644426
16,3766.620239466131,676.0985797966553,-670.7188192628024,337,3447,3,-17.068068981824112,22.45636584727527,2.2122058374359383
17,3825.130788692288,707.7890161602129,-704.919804852524,343,3485,0,-16.706693379052425,19.74076283625359,1.7402229885873548
18,3716.0577768380526,713.5166493589229,-705.5744261970144,355,3445,19,-18.617405514417047,15.115664344890703,1.6480022341789524
19,3861.523314698544,742.3316700431773,-747.8549847417452,343,3513,0,-26.464484142018883,21.71242001800634,1.4361067796847111
20,3869.741443616236,727.3213189086822,-761.0627625249476,318,3542,6,-24.824521046542326,25.7340380395473,1.0492820024046203
21,3945.9477184121106,720.6560240408567,-782.6037424529931,315,3569,0,-27.137403160820597,23.502256971106192,0.8055937324978757
22,3912.947669019428,733.0298311854534,-793.9775002049389,286,3566,0,-25.588153906594687,24.816322529078832,0.6100771506530874
23,3915.076235840462,745.152672122562,-808.2289079631153,263,3589,0,-26.129099728856055,22.789313657035734,0.597160428680169
24,3791.3785270813805,740.3533850450679,-791.7319121265268,251,3641,38,-29.977974678862857,18.144528715871626,0.503285097798936
25,3883.667127532029,769.4295646512942,-821.0966921834125,250,3582,0,-31.628552385801267,18.673071341439535,0.507120264696633
26,3897.7830121822885,787.5536858742008,-833.3366980565656,226,3626,0,-36.954819111831874,17.97859370780182,0.5033922958833015
27,3870.2313275743004,783.5132516915162,-837.7445792658964,214,3602,0,-30.217120920305884,13.025826742969427,0.6363783775720122
28,3879.605102634903,792.8849130888842,-844.4900157238328,198,3630,0,-30.196082874407292,11.120760233102354,0.7840939558107815
29,3830.869554604867,788.8075323728424,-839.6770869777494,196,3584,0,-31.38561334229984,11.5318755100392,0.872764237605137
30,3819.3932041324297,796.4522802667972,-843.8454843992162,202,3570,0,-45.350223395415014,10.21957935813422,0.8263445382377201
31,3887.0094226058354,758.1171016425102,-849.1265242483396,188,3608,0,-44.12644098980233,11.653883742890931,0.915171318078945
32,3907.138181161528,771.8293135502067,-858.9674947117288,214,3606,0,-42.465975645679904,10.621123701899437,1.0997164250945572
33,3865.577215899658,776.7923545849471,-854.3695704845975,208,3580,0,-32.37746077023943,10.31451444027206,1.3367362267093454
34,3837.814133789769,785.7789113540055,-851.5930451437616,204,3568,0,-40.17293818223288,11.411233154618861,1.2357158195601843
