,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3118.2561818074364,185.74381819256323,0.0,281,3719,174,0.0,3.413332354516998,2.30752754315259
1,3252.252392561861,187.7476074381392,0.0,295,3385,60,0.0,4.143598790774036,2.453563283571291
2,3557.613456997608,202.38654300239685,0.0,261,3499,0,0.0,4.65779480244324,2.418920498655711
3,3563.602347079821,200.39765292018578,0.0,291,3521,12,0.0,5.791518914607296,2.5261702965308093
4,3290.296852917608,185.7031470823958,0.0,313,3419,64,0.0,6.8994742408129,2.580797182366968
5,3145.145898176674,162.85410182333038,0.0,331,3417,110,0.0,7.55251748373738,2.4399983691360063
6,3503.9738472919835,160.02615270802065,0.0,342,3362,10,0.0,7.950183905817727,2.495490338226203
7,3639.970719210282,148.02928078972468,0.0,333,3459,1,0.0,8.955200037904326,2.293211008019792
8,3418.3172643864177,125.68273561358453,0.0,314,3394,41,0.0,10.067677081888851,2.6660599618770027
9,3356.3002575617766,107.69974243822712,0.0,304,3388,57,0.0,11.070485230478832,2.2609807726031894
10,3601.6603246660634,106.33967533393685,0.0,297,3447,9,0.0,11.493008228139594,2.3403588901404366
11,3515.0163126229536,88.98368737704696,0.0,269,3407,18,0.0,12.31255502477544,2.6479163949834112
12,3556.4262634196166,75.57373658038325,0.0,254,3510,33,0.0,9.438830366706826,2.7063522660570687
13,3635.0123689734146,64.98763102658617,0.0,290,3410,0,0.0,10.026123606476657,2.5517989924595135
14,3774.5801375522865,57.41986244771429,0.0,300,3532,0,0.0,9.744073009648057,2.8159684244137475
15,3685.7772737747823,50.22272622521641,0.0,377,3403,11,0.0,11.04770320035522,2.8334347746176247
16,3760.8938121215074,43.106187878489145,0.0,399,3405,0,0.0,11.711141166979383,2.6055483082458277
17,3735.959726769548,36.0402732304489,0.0,416,3440,21,0.0,14.48522947839229,2.3140968042998127
18,3558.0395093466627,29.960490653332762,0.0,430,3438,70,0.0,12.85140178524326,2.4691729580734547
19,3875.2487210002027,28.751278999792866,0.0,399,3505,0,0.0,13.07863305115845,2.4443691411097506
20,3831.4813695088887,24.51863049111002,0.0,362,3526,8,0.0,15.19131973528201,2.689123893974407
21,3795.72661423317,20.27338576682896,0.0,342,3582,27,0.0,18.75239214572974,2.3735094948617803
22,3857.7901217653207,18.209878234678623,0.0,330,3546,0,0.0,18.213408329478764,2.6409588277063607
23,3845.402348356074,14.597651643924257,0.0,277,3583,0,0.0,23.409248522479956,2.4461578096546033
24,3816.017048282137,11.982951717860656,0.0,244,3584,0,0.0,18.069746053492164,2.54929745689733
25,3821.9662762474377,10.033723752560428,0.0,237,3595,0,0.0,17.71093238548082,2.4816010463357694
26,3800.052775380371,7.947224619628192,0.0,215,3593,0,0.0,16.836839132526663,2.4058695440652063
27,3797.672536185714,6.327463814285122,0.0,217,3587,0,0.0,15.635634689827178,2.7541986695845813
28,3815.190405845887,4.809594154112444,0.0,224,3596,0,0.0,12.218475008775634,2.3868866759329537
29,3748.8212319921645,3.17876800783497,0.0,217,3535,0,0.0,13.163804277952124,2.3596971137027953
30,3749.7768297439266,2.2231702560733773,0.0,207,3545,0,0.0,15.019347958028746,2.71959654337393
31,3774.7105565531947,1.289443446804978,0.0,208,3568,0,0.0,17.919646125246626,2.466137544230429
32,3766.464015228441,13.535984771559571,0.0,220,3560,0,0.0,16.734211294063158,2.2538301614154785
33,3786.92383898137,13.07616101863024,0.0,231,3569,0,0.0,20.580595401043052,2.3441277910747975
34,3793.806380460956,14.193619539044617,0.0,241,3567,0,0.0,21.484802939605427,2.626711728560582
35,3790.502301601397,13.497698398604188,0.0,256,3548,0,0.0,25.854250306378432,2.0904342278543835
36,3822.898316951615,13.101683048386262,0.0,330,3506,0,0.0,27.509833316966972,2.465198740167797
37,3767.3616689907894,12.638331009212026,0.0,321,3459,0,0.0,24.831946991668758,2.457263355268034
38,3783.7945635605097,12.205436439491617,0.0,306,3490,0,0.0,25.388007211435475,2.623010466800187
39,3848.2358911561996,11.764108843801408,0.0,289,3571,0,0.0,28.45354922541074,2.4182879954997425
40,3844.4672448558417,11.532755144158878,0.0,295,3561,0,0.0,32.82544577144347,2.635033830127926
41,3820.7995343513235,11.20046564867693,0.0,278,3554,0,0.0,27.522670340706423,2.695032985255015
42,3821.9183057868086,10.081694213191444,0.0,250,3582,0,0.0,26.6588583951325,2.4843576534861818
43,3791.7221845436156,8.27781545638526,0.0,243,3557,0,0.0,19.409420144774657,2.379855218216311
44,3805.014470270397,6.985529729603355,0.0,254,3558,0,0.0,20.506484564697516,2.61316103875993
45,3754.330705650796,5.669294349203985,0.0,250,3510,0,0.0,21.112253248482073,2.566180577330565
46,3787.288103244059,4.7118967559406775,0.0,255,3537,0,0.0,20.600760426376453,2.6062367919166594
47,3804.9177274846243,3.0822725153747963,0.0,245,3563,0,0.0,17.861169699000474,2.2859250364729373
48,3749.8646263374826,2.1353736625166633,0.0,226,3526,0,0.0,22.04342019503908,2.5540376723928246
49,3845.87365744399,2.126342556009092,0.0,211,3637,0,0.0,14.750233997240462,2.5974822890199025
0,3084.2761180710104,183.72388192899172,0.0,290,3710,183,0.0,3.410060432952619,2.4160488192165714
1,3214.3341938108033,185.6658061892044,0.0,280,3396,69,0.0,3.883431984537205,2.4162501774470497
2,3595.889013320384,204.11098667961562,0.0,262,3538,0,0.0,4.719232988526327,2.3126678968779353
3,3524.3093567762558,195.69064322374024,0.0,228,3492,0,0.0,4.872683897236116,2.759031646643972
4,3603.794870657159,184.2051293428373,0.0,255,3545,3,0.0,6.202631046421366,2.250490946535291
5,3368.0841409626437,171.91585903735498,0.0,260,3484,51,0.0,6.033034816417229,2.343875186690779
6,3008.3019431499542,143.69805685004513,0.0,273,3383,126,0.0,6.636130146558784,2.3339700490376947
7,3348.743323666727,139.2566763332681,0.0,322,3410,61,0.0,8.204395871384804,2.335743707593549
8,3625.8999369879007,134.1000630120937,0.0,358,3402,0,0.0,10.597621147180318,2.596155238749958
9,3458.013650036757,125.98634996324105,0.0,325,3435,44,0.0,10.026390597379375,2.4030038433884964
10,3504.6340489896584,123.36595101034017,0.0,355,3409,34,0.0,11.55456385527078,2.4037792316565483
11,3508.039106411841,107.96089358815516,0.0,353,3355,23,0.0,11.37604726157714,2.4355078612060206
12,3626.6610777936344,97.33892220636417,0.0,328,3464,17,0.0,9.545360295581212,2.7744908969722406
13,3568.2963569242916,79.70364307570965,0.0,306,3386,11,0.0,10.5096708384511,2.4873965245435334
14,3649.048676746496,66.95132325350265,0.0,315,3417,4,0.0,12.963435613932374,2.6226879324009316
15,3582.598545285581,57.40145471441893,0.0,339,3457,39,0.0,15.58736027029204,2.4873036977373033
16,3648.149222334038,47.850777665962895,0.0,346,3426,19,0.0,16.40496670173171,2.5197509403447897
17,3767.9203085501626,40.07969144984065,0.0,324,3484,0,0.0,19.46938583193786,2.4600477593783965
18,3828.870445965492,35.129554034509596,0.0,340,3524,0,0.0,22.446305887745087,2.5735345506894807
19,3601.969900704456,30.030099295546005,0.0,346,3518,58,0.0,22.893892842044618,2.454966236906068
20,3056.335506301577,23.664493698423026,0.0,362,3542,206,0.0,28.504990623613935,2.8018389106754555
21,3789.991834512983,22.008165487016296,0.0,318,3562,17,0.0,32.68344525207847,2.3690089121441913
22,3827.865775199368,20.134224800631216,0.0,318,3530,0,0.0,38.5467714556738,2.2352043940657773
23,3847.3640754421895,16.6359245578098,0.0,281,3595,3,0.0,40.21744429011303,2.5336086247313743
24,3770.4127988504524,13.587201149547141,0.0,263,3581,15,0.0,37.27593925735548,2.407851696557396
25,3793.488004348959,10.511995651040435,0.0,237,3595,7,0.0,44.98759631238911,2.5943042261116984
26,3831.0462490452505,8.953750954749266,0.0,229,3611,0,0.0,50.73989986105128,2.496193270448405
27,3737.725006797687,6.274993202314067,0.0,221,3575,13,0.0,49.39726446402622,2.5885648599575477
28,3831.193921984555,4.806078015445922,0.0,194,3642,0,0.0,62.315147205721814,2.6489000599949604
29,3243.9866605030716,4.013339496928141,0.0,203,3621,144,0.0,77.28603435842278,2.179573728091021
30,3824.1798013306006,3.82019866939902,0.0,246,3582,0,0.0,80.77211620775584,2.66492528148328
31,3773.073425213723,2.9265747862773375,0.0,213,3563,0,0.0,78.49981229435674,2.467878346772287
32,3825.8446951786186,2.1553048213812773,0.0,207,3621,0,0.0,93.45260126127901,2.138644510816401
33,3706.458382888342,1.5416171116581967,0.0,212,3540,11,0.0,109.86648053217208,2.335527653985352
34,3786.8344316422617,1.165568357739037,0.0,216,3572,0,0.0,117.97321700063979,2.524854216446188
35,3762.9944237534482,1.005576246552209,0.0,204,3588,7,0.0,121.05815099443173,2.434484444964228
36,3771.218551901763,0.7814480982374911,0.0,241,3531,0,0.0,120.22111440233645,2.4949675895202574
37,3787.3295017421674,0.6704982578331617,0.0,249,3539,0,0.0,134.6530186102037,2.5619812091478495
38,3787.556963029777,0.4430369702235962,0.0,265,3523,0,0.0,149.39740124588835,2.530784597446546
39,3843.6685415340107,0.3314584659895177,0.0,239,3605,0,0.0,125.51824445203776,2.5671009349380025
40,3255.6685415340107,0.3314584659895177,0.0,273,3591,152,0.0,100.16353480035237,2.328950553784954
41,2583.729604148654,0.270395851346233,0.0,272,3584,318,0.0,94.9350307033706,2.483993994020144
42,3724.0,0.0,0.0,239,3593,27,0.0,93.18328986430862,2.3604431117245115
43,3856.0,0.0,0.0,239,3617,0,0.0,93.69662864207264,2.183820153981781
44,3084.0,0.0,0.0,266,3622,201,0.0,87.44208832040913,2.4655214346611305
45,3624.0,0.0,0.0,255,3517,37,0.0,102.10019099557378,2.5227267677975345
