,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3099.8433020097264,184.15669799027506,0.0,291,3709,179,0.0,3.5984991265860824,2.5551636285450017
1,3456.4839995409816,199.5160004590144,0.0,274,3398,4,0.0,3.9908617921465956,2.3402243111336785
2,3399.9813711474753,196.01862885252262,0.0,266,3530,50,0.0,5.594930708887721,2.4825010767345272
3,3519.976633093584,200.023366906416,0.0,289,3475,11,0.0,6.949662540559227,2.4253688884938756
4,3256.8902028544917,171.10979714550552,0.0,287,3457,79,0.0,8.038775666872498,2.629770788996165
5,3264.5540804155544,159.44591958444346,0.0,349,3387,78,0.0,6.633444507535011,2.418833748895615
6,3181.491611078502,142.50838892149437,0.0,346,3346,92,0.0,7.772491036443487,2.4240189134342573
7,3616.1323076717163,139.86769232828166,0.0,365,3391,0,0.0,9.197646296212998,2.5574311612224765
8,3498.1612411674337,133.8387588325675,0.0,331,3433,33,0.0,9.45585751944084,2.545687309444205
9,3575.5505373331453,120.44946266685871,0.0,329,3395,7,0.0,9.291017496899874,2.565383046380135
10,3441.360102858638,102.63989714136524,0.0,352,3348,39,0.0,9.429796411254824,2.567616303139827
11,3601.9851556463404,90.01484435366059,0.0,344,3364,4,0.0,10.532893100643676,2.4595657755155957
12,3561.2009867655574,78.7990132344441,0.0,382,3366,27,0.0,12.778001262527994,2.6086358243124783
13,3519.010963279049,76.98903672095285,0.0,364,3444,53,0.0,13.909684933201737,2.579000813682024
14,3630.932721966883,69.06727803311732,0.0,341,3359,0,0.0,18.340524231260535,2.6656166993713306
15,3635.3542387289745,64.64576127102846,0.0,336,3460,24,0.0,20.34389446302735,2.427209642612157
16,3066.4117935103104,49.58820648968884,0.0,343,3425,163,0.0,21.660946769251883,2.616557042053558
17,3683.3447723261156,48.655227673886124,0.0,316,3556,35,0.0,23.236209032349024,2.4310839452478747
18,3845.6770111478313,46.32298885217016,0.0,340,3552,0,0.0,30.823442178376407,2.4950413833983704
19,3053.624294953572,34.37570504642847,0.0,322,3550,196,0.0,30.90170694170963,2.428399816037321
20,3822.5978938824073,33.40210611759325,0.0,289,3575,2,0.0,33.85664910871554,2.188139159073644
21,3803.9308337876887,28.069166212311355,0.0,247,3585,0,0.0,32.97373284330622,2.396767347426067
22,3834.824107754281,25.17589224571837,0.0,247,3633,5,0.0,35.78029591458803,2.586793315568067
23,3755.3720615300854,20.627938469914294,0.0,228,3628,20,0.0,33.20219118363398,2.5733714649797195
24,3770.45792121173,17.54207878826866,0.0,227,3629,17,0.0,45.338539013695545,2.5802555319613814
25,3829.5085400915673,14.491459908430233,0.0,209,3635,0,0.0,40.33422255236294,2.3348256032022
26,3165.4475520200494,10.552447979947926,0.0,235,3629,172,0.0,27.40056507427975,2.2945821135643607
27,3534.9962742611406,9.00372573885898,0.0,235,3585,69,0.0,32.20843247955603,2.7120301946222862
28,3032.9178736991903,7.082126300809275,0.0,243,3597,200,0.0,41.16274920637499,2.4121677702781517
29,3801.500547426632,6.499452573367902,0.0,218,3626,9,0.0,36.374868805007516,2.295226741845874
30,3798.9715632115112,5.028436788488703,0.0,205,3599,0,0.0,42.79699767979798,2.5745818896612986
31,3520.2850731813437,3.714926818656162,0.0,219,3601,74,0.0,49.94582658262908,2.3635647067594174
32,3737.2028241690714,2.7971758309281993,0.0,203,3537,0,0.0,58.53760428519313,2.445697970158011
33,3785.884177997321,2.115822002678534,0.0,216,3572,0,0.0,64.88127321415669,2.5558122086710604
34,3434.014498837599,1.9855011624005408,0.0,269,3499,83,0.0,61.99215326206046,2.340306312745719
35,3802.068807205184,1.9311927948154677,0.0,260,3544,0,0.0,74.29339774772934,2.259719725934504
36,3762.352715697559,1.6472843024401085,0.0,284,3540,15,0.0,64.44407658497865,2.335542822837029
