,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3103.132044296999,184.8679557030087,0.0,257,3743,178,0.0,3.7589236207480083,2.5363943299006975
1,3504.702102751023,203.2978972489866,0.0,255,3453,0,0.0,5.0470977880154875,2.5130490324526913
2,3503.3701811901487,200.62981880986348,0.0,238,3466,0,0.0,6.276604076503101,2.4811947240875947
3,3190.632727113429,177.36727288657457,0.0,221,3503,89,0.0,8.633678677694313,2.527701125058843
4,3260.615876083306,179.38412391670389,0.0,309,3463,83,0.0,10.033880653291005,2.4722441998713407
5,3198.545359723358,165.45464027665133,0.0,341,3459,109,0.0,10.202936552750403,2.38603810250633
6,3515.084686868009,160.9153131320021,0.0,331,3385,10,0.0,12.564256357226213,2.4355251552447363
7,3392.7429311567644,151.25706884324396,0.0,304,3428,47,0.0,13.027451012760508,2.495459019726664
8,3424.4034827353694,135.59651726463937,0.0,284,3456,45,0.0,13.030720059110214,2.7639654887291814
9,3586.091016280458,121.90898371954624,0.0,275,3433,0,0.0,14.083199885270934,2.5119374268994177
10,3655.195216730335,108.80478326967177,0.0,301,3471,2,0.0,14.958412267945642,2.5399497538086218
11,3582.5462663424587,93.45373365754627,0.0,305,3399,7,0.0,18.483815148071525,2.721368675152239
12,3596.288466955588,79.71153304441583,0.0,292,3448,16,0.0,19.074148976583402,2.8471702833680146
13,3662.9718865704413,81.0281134295635,0.0,292,3452,0,0.0,19.70159099232362,2.543366397747537
14,3380.476775933758,67.52322406624312,0.0,286,3498,84,0.0,20.35865636646587,2.6151735126071025
15,3606.7415924630864,61.25840753691568,0.0,350,3422,26,0.0,22.409940814905017,2.4743974572139456
16,3777.5700653575545,54.42993464244681,0.0,350,3482,0,0.0,24.37474149438171,2.502268107070881
17,3602.099563639671,45.90043636033093,0.0,329,3519,50,0.0,22.47261202354906,2.606486826337532
18,3823.611082900012,40.388917099990294,0.0,307,3557,0,0.0,24.99937366785637,2.302443441784221
19,3825.340418774762,34.65958122524014,0.0,295,3565,0,0.0,26.342612202588224,2.4090616646348617
20,3779.057438125026,28.942561874974572,0.0,257,3587,9,0.0,28.517255012011237,2.5483767077281794
21,3831.4623530698864,28.537646930114388,0.0,285,3603,7,0.0,30.70303201256444,2.3293832215387043
22,3738.6289664993215,25.371033500680273,0.0,287,3597,30,0.0,41.13984492251934,2.4916521152520827
23,3833.944852106411,22.055147893591162,0.0,252,3604,0,0.0,36.00904066785893,2.4066980958531703
24,3758.3116855049047,17.688314495097526,0.0,228,3548,0,0.0,32.77496795996564,2.5713287729759857
25,3813.496929781236,14.503070218765382,0.0,234,3594,0,0.0,30.97814711183481,2.48828860819242
26,3772.7778965955613,11.222103404440002,0.0,230,3554,0,0.0,28.910913445939915,2.7724710539660906
27,3800.16343660126,7.836563398741523,0.0,187,3621,0,0.0,29.46854103176537,2.610048337991759
28,3817.7477015819427,6.252298418059464,0.0,180,3644,0,0.0,29.849744621057493,2.40558373569339
29,3799.5158760037148,4.4841239962857395,0.0,190,3614,0,0.0,29.038062937784872,2.6725154605985715
30,3752.6966961418343,3.303303858165971,0.0,176,3580,0,0.0,27.118484166048045,2.6628556261857756
